benchmark                                                                                      old ns/op       new ns/op       delta
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/update-10                              732            602            -17.76%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/block-10                               99140          79821          -19.49%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-no-in-tree-guarantee-fast-10         15             15             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-no-in-tree-guarantee-slow-10         23             29             +26.09%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-hits-fast-10                         0              0              +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-hits-slow-10                         33             42             +27.27%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/iteration-fast-10                          522984         522984         +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/iteration-slow-10                          4505220        5496869        +22.01%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/update-10                                  643            790            +22.86%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/block-10                                   3487           4325           +24.03%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-no-in-tree-guarantee-fast-10        15             15             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-no-in-tree-guarantee-slow-10        23             29             +26.09%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-hits-fast-10                        0              0              +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-hits-slow-10                        33             42             +27.27%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/iteration-fast-10                         522985         522984         -0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/iteration-slow-10                         4506398        5508565        +22.24%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/update-10                                 496            605            +21.98%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/block-10                                  14675          17762          +21.04%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-fast-10       15             15             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-slow-10       23             30             +30.43%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-hits-fast-10                       0              0              +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-hits-slow-10                       33             42             +27.27%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/iteration-fast-10                        522984         522984         +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/iteration-slow-10                        4504511        5497187        +22.04%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/update-10                                409            519            +26.89%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/block-10                                 50233          66408          +32.20%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-no-in-tree-guarantee-fast-10       15             15             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-no-in-tree-guarantee-slow-10       23             29             +26.09%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-hits-fast-10                       0              0              +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-hits-slow-10                       33             42             +27.27%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/iteration-fast-10                        522984         522984         +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/iteration-slow-10                        4506768        5508688        +22.23%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/update-10                                482            534            +10.79%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/block-10                                 223468         246332         +10.23%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-no-in-tree-guarantee-fast-10      15             15             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-no-in-tree-guarantee-slow-10      23             30             +30.43%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-hits-fast-10                      0              0              +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-hits-slow-10                      33             42             +27.27%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/iteration-fast-10                       522984         522983         -0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/iteration-slow-10                       4506001        5509209        +22.26%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/update-10                               329            403            +22.49%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/block-10                                1213315        1252167        +3.20%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-fast-10        15             15             +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-slow-10        23             29             +26.09%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-fast-10                        0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-slow-10                        32             42             +31.25%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-fast-10                         274171         274171         +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-slow-10                         2185411        2767468        +26.63%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/update-10                                 405            499            +23.21%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/block-10                                  52646          63710          +21.02%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-fast-10       19             19             +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-slow-10       24             32             +33.33%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-fast-10                       0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-slow-10                       35             45             +28.57%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-fast-10                        437915         437907         -0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-slow-10                        2369756        2884750        +21.73%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/update-10                                500            535            +7.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/block-10                                 75416          76831          +1.88%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-fast-10      25             25             +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-slow-10      30             39             +30.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-fast-10                      0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-slow-10                      42             51             +21.43%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-fast-10                       708118         708100         -0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-slow-10                       2411608        3127640        +29.69%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/update-10                               627            670            +6.86%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/block-10                                88829          88394          -0.49%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-fast-10     50             48             -4.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-slow-10     287            218            -24.04%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-fast-10                     0              0              +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-slow-10                     233            209            -10.30%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-fast-10                      1014017        1143697        +12.79%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-slow-10                      5543137        3716191        -32.96%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/update-10                              815            572            -29.82%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/block-10                               99087          73446          -25.88%

benchmark                                                                                      old bytes       new bytes       delta
BenchmarkSmall/memdb-1000-100-4-10/query-no-in-tree-guarantee-fast-10                          64              64              +0.00%
BenchmarkSmall/memdb-1000-100-4-10/query-no-in-tree-guarantee-slow-10                          353             657             +86.12%
BenchmarkSmall/memdb-1000-100-4-10/query-hits-fast-10                                          0               0               +0.00%
BenchmarkSmall/memdb-1000-100-4-10/query-hits-slow-10                                          539             984             +82.56%
BenchmarkSmall/memdb-1000-100-4-10/iteration-fast-10                                           197343          197337          -0.00%
BenchmarkSmall/memdb-1000-100-4-10/iteration-slow-10                                           757600          1346683         +77.76%
BenchmarkSmall/memdb-1000-100-4-10/update-10                                                   11829           12443           +5.19%
BenchmarkSmall/memdb-1000-100-4-10/block-10                                                    2325099         2696233         +15.96%
BenchmarkSmall/goleveldb-1000-100-4-10/query-no-in-tree-guarantee-fast-10                      120             120             +0.00%
BenchmarkSmall/goleveldb-1000-100-4-10/query-no-in-tree-guarantee-slow-10                      505             840             +66.34%
BenchmarkSmall/goleveldb-1000-100-4-10/query-hits-fast-10                                      0               0               +0.00%
BenchmarkSmall/goleveldb-1000-100-4-10/query-hits-slow-10                                      747             1193            +59.71%
BenchmarkSmall/goleveldb-1000-100-4-10/iteration-fast-10                                       168480          168480          +0.00%
BenchmarkSmall/goleveldb-1000-100-4-10/iteration-slow-10                                       1033035         1621771         +56.99%
BenchmarkSmall/goleveldb-1000-100-4-10/update-10                                               20698           20916           +1.05%
BenchmarkSmall/goleveldb-1000-100-4-10/block-10                                                4156070         4498389         +8.24%
BenchmarkSmall/pebbledb-1000-100-4-10/query-no-in-tree-guarantee-fast-10                       32              32              +0.00%
BenchmarkSmall/pebbledb-1000-100-4-10/query-no-in-tree-guarantee-slow-10                       388             712             +83.51%
BenchmarkSmall/pebbledb-1000-100-4-10/query-hits-fast-10                                       0               0               +0.00%
BenchmarkSmall/pebbledb-1000-100-4-10/query-hits-slow-10                                       569             1013            +78.03%
BenchmarkSmall/pebbledb-1000-100-4-10/iteration-fast-10                                        168482          168482          +0.00%
BenchmarkSmall/pebbledb-1000-100-4-10/iteration-slow-10                                        797416          1386097         +73.82%
BenchmarkSmall/pebbledb-1000-100-4-10/update-10                                                8940            9407            +5.22%
BenchmarkSmall/pebbledb-1000-100-4-10/block-10                                                 1662002         2039118         +22.69%
BenchmarkMedium/memdb-100000-100-16-40/query-no-in-tree-guarantee-fast-10                      88              88              +0.00%
BenchmarkMedium/memdb-100000-100-16-40/query-no-in-tree-guarantee-slow-10                      407             715             +75.68%
BenchmarkMedium/memdb-100000-100-16-40/query-hits-fast-10                                      0               0               +0.00%
BenchmarkMedium/memdb-100000-100-16-40/query-hits-slow-10                                      582             1024            +75.95%
BenchmarkMedium/memdb-100000-100-16-40/iteration-fast-10                                       23197133        23197435        +0.00%
BenchmarkMedium/memdb-100000-100-16-40/iteration-slow-10                                       82391776        141585490       +71.84%
BenchmarkMedium/memdb-100000-100-16-40/update-10                                               26891           29108           +8.24%
BenchmarkMedium/memdb-100000-100-16-40/block-10                                                2841601         3116559         +9.68%
BenchmarkMedium/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-fast-10                  790             790             +0.00%
BenchmarkMedium/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-slow-10                  1383            1646            +19.02%
BenchmarkMedium/goleveldb-100000-100-16-40/query-hits-fast-10                                  0               0               +0.00%
BenchmarkMedium/goleveldb-100000-100-16-40/query-hits-slow-10                                  1972            2364            +19.88%
BenchmarkMedium/goleveldb-100000-100-16-40/iteration-fast-10                                   29327014        29327038        +0.00%
BenchmarkMedium/goleveldb-100000-100-16-40/iteration-slow-10                                   270053284       313206640       +15.98%
BenchmarkMedium/goleveldb-100000-100-16-40/update-10                                           43187           44323           +2.63%
BenchmarkMedium/goleveldb-100000-100-16-40/block-10                                            5027121         5012403         -0.29%
BenchmarkMedium/pebbledb-100000-100-16-40/query-no-in-tree-guarantee-fast-10                   56              56              +0.00%
BenchmarkMedium/pebbledb-100000-100-16-40/query-no-in-tree-guarantee-slow-10                   451             761             +68.74%
BenchmarkMedium/pebbledb-100000-100-16-40/query-hits-fast-10                                   0               0               +0.00%
BenchmarkMedium/pebbledb-100000-100-16-40/query-hits-slow-10                                   657             1102            +67.73%
BenchmarkMedium/pebbledb-100000-100-16-40/iteration-fast-10                                    25600941        25600925        -0.00%
BenchmarkMedium/pebbledb-100000-100-16-40/iteration-slow-10                                    92050868        151227452       +64.29%
BenchmarkMedium/pebbledb-100000-100-16-40/update-10                                            18765           20348           +8.44%
BenchmarkMedium/pebbledb-100000-100-16-40/block-10                                             2027105         2212660         +9.15%
BenchmarkLarge/memdb-1000000-100-16-40/query-no-in-tree-guarantee-fast-10                      88              88              +0.00%
BenchmarkLarge/memdb-1000000-100-16-40/query-no-in-tree-guarantee-slow-10                      555             972             +75.14%
BenchmarkLarge/memdb-1000000-100-16-40/query-hits-fast-10                                      210             222             +5.71%
BenchmarkLarge/memdb-1000000-100-16-40/query-hits-slow-10                                      614             1073            +74.76%
BenchmarkLarge/memdb-1000000-100-16-40/iteration-fast-10                                       232003545       232002792       -0.00%
BenchmarkLarge/memdb-1000000-100-16-40/iteration-slow-10                                       699041128       1202147760      +71.97%
BenchmarkLarge/memdb-1000000-100-16-40/update-10                                               33257           37704           +13.37%
BenchmarkLarge/memdb-1000000-100-16-40/block-10                                                3555211         3926341         +10.44%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-no-in-tree-guarantee-fast-10                  993             993             +0.00%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-no-in-tree-guarantee-slow-10                  3257            3637            +11.67%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-hits-fast-10                                  1045            1046            +0.10%
BenchmarkLarge/goleveldb-1000000-100-16-40/query-hits-slow-10                                  3192            3673            +15.07%
BenchmarkLarge/goleveldb-1000000-100-16-40/iteration-fast-10                                   297375872       297404690       +0.01%
BenchmarkLarge/goleveldb-1000000-100-16-40/iteration-slow-10                                   2667202640      2972673160      +11.45%
BenchmarkLarge/goleveldb-1000000-100-16-40/update-10                                           77745           66597           -14.34%
BenchmarkLarge/goleveldb-1000000-100-16-40/block-10                                            11190156        9113618         -18.56%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-fast-10        936             936             +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-slow-10        1448            1791            +23.69%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-fast-10                        0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-slow-10                        2048            2549            +24.46%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-fast-10                         25094827        25094822        -0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-slow-10                         141003725       170737916       +21.09%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/update-10                                 41673           43863           +5.26%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/block-10                                  4921822         4966316         +0.90%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-fast-10       2066            2085            +0.92%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-slow-10       2479            2824            +13.92%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-fast-10                       0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-slow-10                       3532            4045            +14.52%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-fast-10                        125756960       125742544       -0.01%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-slow-10                        245868536       272498506       +10.83%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/update-10                                63367           58362           -7.90%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/block-10                                 10018026        8499948         -15.15%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-fast-10      14594           15020           +2.92%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-slow-10      13045           12510           -4.10%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-fast-10                      0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-slow-10                      18585           17255           -7.16%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-fast-10                       1064748312      1060936086      -0.36%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-slow-10                       1191422512      1204791544      +1.12%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/update-10                               231950          183967          -20.69%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/block-10                                59963200        27528127        -54.09%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-fast-10     323087          218299          -32.43%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-slow-10     824570          718389          -12.88%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-fast-10                     0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-slow-10                     791529          608720          -23.10%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-fast-10                      16157764512     16118991152     -0.24%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-slow-10                      27729827640     14708710992     -46.96%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/update-10                              3819776         2397407         -37.24%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/block-10                               733453592       379198392       -48.30%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-no-in-tree-guarantee-fast-10         790             790             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-no-in-tree-guarantee-slow-10         1378            1655            +20.10%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-hits-fast-10                         0               0               +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/query-hits-slow-10                         1974            2368            +19.96%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/iteration-fast-10                          29327026        29327017        -0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/iteration-slow-10                          269726020       313345740       +16.17%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/update-10                                  65283           61821           -5.30%
BenchmarkLevelDBBatchSizes/goleveldb-100000-5-16-40/block-10                                   335556          326817          -2.60%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-no-in-tree-guarantee-fast-10        790             790             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-no-in-tree-guarantee-slow-10        1376            1653            +20.13%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-hits-fast-10                        0               0               +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/query-hits-slow-10                        1982            2363            +19.22%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/iteration-fast-10                         29327039        29327030        -0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/iteration-slow-10                         271226828       313655164       +15.64%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/update-10                                 53342           49343           -7.50%
BenchmarkLevelDBBatchSizes/goleveldb-100000-25-16-40/block-10                                  1401339         1314793         -6.18%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-fast-10       790             790             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-no-in-tree-guarantee-slow-10       1378            1664            +20.75%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-hits-fast-10                       0               0               +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/query-hits-slow-10                       1979            2377            +20.11%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/iteration-fast-10                        29327028        29327015        -0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/iteration-slow-10                        270301508       313532284       +15.99%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/update-10                                43040           44699           +3.85%
BenchmarkLevelDBBatchSizes/goleveldb-100000-100-16-40/block-10                                 5072128         5174266         +2.01%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-no-in-tree-guarantee-fast-10       789             790             +0.13%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-no-in-tree-guarantee-slow-10       1395            1656            +18.71%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-hits-fast-10                       0               0               +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/query-hits-slow-10                       1992            2374            +19.18%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/iteration-fast-10                        29327027        29327021        -0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/iteration-slow-10                        272090372       314214168       +15.48%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/update-10                                49920           46456           -6.94%
BenchmarkLevelDBBatchSizes/goleveldb-100000-400-16-40/block-10                                 22170531        20937949        -5.56%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-no-in-tree-guarantee-fast-10      790             790             +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-no-in-tree-guarantee-slow-10      1382            1658            +19.97%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-hits-fast-10                      0               0               +0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/query-hits-slow-10                      1979            2365            +19.50%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/iteration-fast-10                       29327026        29327008        -0.00%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/iteration-slow-10                       270522444       314071844       +16.10%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/update-10                               36441           36090           -0.96%
BenchmarkLevelDBBatchSizes/goleveldb-100000-2000-16-40/block-10                                132003430       116394832       -11.82%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-fast-10        936             935             -0.11%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-no-in-tree-guarantee-slow-10        1464            1786            +21.99%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-fast-10                        0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/query-hits-slow-10                        2060            2547            +23.64%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-fast-10                         25094825        25094834        +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/iteration-slow-10                         140982754       170887461       +21.21%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/update-10                                 41693           42576           +2.12%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100/block-10                                  4940056         4988955         +0.99%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-fast-10       2065            2087            +1.07%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-no-in-tree-guarantee-slow-10       2477            2833            +14.37%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-fast-10                       0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/query-hits-slow-10                       3535            4027            +13.92%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-fast-10                        125667160       125671880       +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/iteration-slow-10                        245874840       272476461       +10.82%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/update-10                                63335           58466           -7.69%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-1000/block-10                                 9603450         8427974         -12.24%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-fast-10      14857           14836           -0.14%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-no-in-tree-guarantee-slow-10      13607           14061           +3.34%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-fast-10                      0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/query-hits-slow-10                      18598           17243           -7.29%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-fast-10                       1060909550      1060933730      +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/iteration-slow-10                       1194436424      1208004920      +1.14%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/update-10                               226301          178654          -21.05%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-10000/block-10                                34636638        26539685        -23.38%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-fast-10     327851          237786          -27.47%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-no-in-tree-guarantee-slow-10     1127092         663735          -41.11%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-fast-10                     0               0               +0.00%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/query-hits-slow-10                     937626          647921          -30.90%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-fast-10                      16137895544     16221670720     +0.52%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/iteration-slow-10                      26704454808     15065636024     -43.58%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/update-10                              4362432         2383279         -45.37%
BenchmarkLevelDBLargeData/goleveldb-50000-100-32-100000/block-10                               663384568       427727176       -35.52%
